,# YTID, start_seconds, end_seconds, positive_labels,label_count,label_names
32,-2sE5CH8Wb8,30.0,40.0,"/m/02rhddq,/m/07r04,/m/07yv9",3,Reversing beeps|Truck|Vehicle
33,-2xiZDEuHd8,30.0,40.0,"/m/04rlf,/m/09x0r,/t/dd00018",3,Music|Speech|Oink
34,-3-4qmWSJXU,30.0,40.0,"/m/06mb1,/m/0jb2l,/m/0ngt1,/t/dd00038",4,Rain|Thunderstorm|Thunder|Rain on surface
35,-3-JjN3BXjA,90.0,100.0,"/m/09x0r,/t/dd00013",2,Speech|Children playing
36,-36qTeAdDMI,130.0,140.0,"/m/07cx4,/m/09x0r,/t/dd00125",3,"Telephone|Speech|Inside, small room"
37,-3Kv4fdm7Uk,30.0,40.0,"/m/04rlf,/m/04szw,/m/0l156b",3,Music|Musical instrument|Steelpan
38,-3YWuPXHknk,30.0,40.0,"/m/02mk9,/t/dd00130",2,Engine|Engine starting
39,-3nXxwBlX5A,20.0,30.0,/m/04wptg,1,Wedding music
40,-3nyUrKWFEE,210.0,220.0,"/m/06hck5,/m/06wzb",2,Steam whistle|Steam
41,-3rHVsIj1M8,30.0,40.0,"/m/019jd,/m/03m9d0z,/m/06q74,/t/dd00092",4,"Boat, Water vehicle|Wind|Ship|Wind noise (microphone)"
42,-3z5mFRgbxc,30.0,40.0,"/m/01bjv,/m/07yv9,/m/09x0r,/m/0btp2",4,"Bus|Vehicle|Speech|Traffic noise, roadway noise"
43,-47nPCeukVc,1.0,11.0,"/m/07yv9,/m/0gvgw0",2,Vehicle|Air brake
44,-4SYC2YgzL8,30.0,40.0,"/m/04rlf,/m/04wptg,/m/0ggq0m",3,Music|Wedding music|Classical music
45,-4kkGS4-qVM,10.0,20.0,"/m/01wy6,/m/085jw,/m/0l14l2",3,"Clarinet|Wind instrument, woodwind instrument|Shofar"
46,-4pmCrSdMhg,30.0,40.0,"/m/04rlf,/m/07rv9rh,/m/09x0r",3,Music|Clip-clop|Speech
47,-4viN_EoxOA,0.0,10.0,"/m/01kcd,/m/06ncr",2,Brass instrument|Saxophone
48,-53zl3bPmpM,210.0,220.0,"/m/04rlf,/m/07pws3f,/m/09x0r",3,Music|Bang|Speech
49,-5CGQGSFGyg,60.0,70.0,"/m/013y1f,/m/01s0ps,/m/03xq_f,/m/05148p4,/m/05r5c",5,Organ|Electric piano|Electronic organ|Keyboard (musical)|Piano
50,-5FoeegAgvU,230.0,240.0,"/m/04rlf,/m/07rrh0c",2,Music|Thunk
51,-5PZ_Bh-M6o,180.0,190.0,/m/01jg02,1,"Heart sounds, heartbeat"
52,-65CfQUX9Ng,10.0,20.0,/m/07prgkl,1,Pour
53,-6Aq2fJwlgU,510.0,520.0,"/m/07pjjrj,/m/07rdhzs",2,"Smash, crash|Whack, thwack"
54,-6GcdDStIwM,21.0,31.0,"/m/08j51y,/m/0c1dj",2,"Dental drill, dentist's drill|Sound effect"
55,-6HBGg1cAI0,30.0,40.0,"/m/02p0sh1,/m/04rlf,/m/06j64v",3,Traditional music|Music|Middle Eastern music
56,-6JnAxTXApw,30.0,40.0,/m/0chx_,1,White noise
57,-6cTEqIcics,30.0,40.0,"/m/03kmc9,/m/0dgbq",2,Siren|Civil defense siren
58,-7B9tPuIP-w,450.0,460.0,"/m/0155w,/m/04rlf,/m/07sr1lc",3,Blues|Music|Yell
59,-7IhwezUrUA,590.0,600.0,/m/023pjk,1,"Cutlery, silverware"
60,-7TanrCbmME,30.0,40.0,"/m/04rlf,/m/09x0r,/t/dd00005",3,Music|Speech|Child singing
61,-7XwGino_W0,30.0,40.0,/m/07qv4k0,1,Scrape
62,-7YESdyyHVw,10.0,20.0,/m/0239kh,1,Cowbell
63,-7eDqv-6AKQ,30.0,40.0,"/m/07yv9,/m/0gvgw0,/m/0k4j",3,Vehicle|Air brake|Car
64,-7vpNApSN8g,70.0,80.0,"/m/08j51y,/t/dd00125",2,"Dental drill, dentist's drill|Inside, small room"
65,-88me9bBzrk,30.0,40.0,"/m/015vgc,/m/04rlf",2,Carnatic music|Music
66,-8C-gydUbR8,30.0,40.0,"/m/04rlf,/t/dd00003,/t/dd00004,/t/dd00005",4,Music|Male singing|Female singing|Child singing
67,-8Ds_ZrtQ9M,20.0,30.0,/m/02x984l,1,Mechanical fan
68,-8Mzg0pjOzc,30.0,40.0,"/m/04rlf,/m/08j51y,/m/09x0r",3,"Music|Dental drill, dentist's drill|Speech"
69,-8cgbhIR_pw,30.0,40.0,"/m/042v_gx,/m/04rlf,/m/04szw,/m/06w87,/m/07s0s5r,/m/0fx80y,/t/dd00034",7,"Acoustic guitar|Music|Musical instrument|Steel guitar, slide guitar|Strum|Plucked string instrument|Tender music"
70,-8pCMgGKZY8,12.0,22.0,"/m/04rlf,/m/068hy,/m/07r_k2n,/m/07rc7d9,/m/09x0r,/m/0bt9lr,/m/0jbk,/t/dd00136",8,"Music|Domestic animals, pets|Yip|Bow-wow|Speech|Dog|Animal|Whimper (dog)"
71,-8s8gqSkRzI,30.0,40.0,/m/07s0dtb,1,Gasp
72,-95a1RB0jHs,30.0,40.0,"/m/014zdl,/m/07pxg6y",2,Explosion|Eruption
73,-98gqe2LWcg,14.0,24.0,"/m/04k94,/m/0dv3j",2,Liquid|Boiling
74,-9GUUhB3QV0,30.0,40.0,"/m/03j1ly,/m/03kmc9,/m/04qvtq",3,Emergency vehicle|Siren|Police car (siren)
75,-9O1cb8z7Mk,0.0,10.0,/m/02z32qm,1,Fusillade
76,-9byM5-ih2M,0.0,10.0,"/m/01yrx,/m/068hy,/m/07qrkrw,/m/07r_k2n,/m/07rc7d9,/m/09x0r,/m/0bt9lr,/m/0jbk,/t/dd00136",9,"Cat|Domestic animals, pets|Meow|Yip|Bow-wow|Speech|Dog|Animal|Whimper (dog)"
77,-9mHz0OsKKw,0.0,10.0,"/m/07qv_d5,/m/07yv9,/m/0k4j,/t/dd00128",4,"Toot|Vehicle|Car|Outside, urban or manmade"
78,-9phJ0sJrXg,14.0,24.0,/t/dd00006,1,Synthetic singing
79,-A-Un_X21lU,230.0,240.0,"/m/01b82r,/m/07pdjhy,/m/083vt",3,Sawing|Rub|Wood
80,-A1o1Egi20c,60.0,70.0,/m/03w41f,1,Church bell
81,-A3zsFeU_OI,30.0,40.0,"/m/07s04w4,/m/09x0r",2,Snicker|Speech
82,-ABOfhcXwt8,17.0,27.0,"/m/06h7j,/m/09x0r",2,Run|Speech
83,-ANxUxvGASw,10.0,20.0,"/m/0195fx,/m/01g50p,/m/06d_3,/m/07jdr,/m/07rwm0c,/t/dd00048",6,"Subway, metro, underground|Railroad car, train wagon|Rail transport|Train|Clickety-clack|Train wheels squealing"
84,-AeiYb4vDK0,340.0,350.0,"/m/03cczk,/m/07pdhp0,/m/09x0r,/m/0jbk,/t/dd00129",5,"Chewing, mastication|Biting|Speech|Animal|Outside, rural or natural"
85,-Am9MfJ6Z2o,60.0,70.0,/m/023pjk,1,"Cutlery, silverware"
86,-BAF0DHMqVA,130.0,140.0,/m/0395lw,1,Bell
87,-BHPu-dPmWQ,30.0,40.0,"/m/04rlf,/t/dd00032",2,Music|Funny music
88,-BWhd7Q43tE,50.0,60.0,/m/012xff,1,Toothbrush
89,-BY64_p-vtM,30.0,40.0,"/m/07r04,/m/07yv9,/m/09x0r,/m/0fx9l",4,Truck|Vehicle|Speech|Microwave oven
90,-Bu7YaslRW0,30.0,40.0,"/m/025td0t,/m/02cjck,/m/04rlf",3,Background music|Theme music|Music
91,-Bx_-I7sB5k,160.0,170.0,"/m/04rlf,/m/09x0r,/m/0k65p,/t/dd00125",4,"Music|Speech|Hands|Inside, small room"
92,-By6I234TSs,10.0,20.0,"/m/04rlf,/m/07pt_g0,/m/0l14qv",3,Music|Pulse|Synthesizer
93,-ByoSbgzr4M,0.0,10.0,"/m/01glhc,/m/04rlf",2,Tapping (guitar technique)|Music
94,-COelgvUEW4,16.0,26.0,"/m/04rlf,/t/dd00004",2,Music|Female singing
95,-CXICIHCb6Y,30.0,40.0,"/m/07qcpgn,/m/09x0r",2,Tap|Speech
96,-CZ1LIc8aos,20.0,30.0,/t/dd00134,1,Car passing by
97,-Cdx8zogHI0,260.0,270.0,"/m/07pc8lb,/m/07rn7sz,/m/09x0r",3,Breaking|Shatter|Speech
98,-Cr0wim-lIQ,30.0,40.0,/m/0150b9,1,Change ringing (campanology)
99,-D--GWwca0g,130.0,140.0,"/m/04rlf,/m/07pxg6y,/m/09x0r",3,Music|Eruption|Speech
100,-DSNfC2EJhU,20.0,30.0,"/m/01jt3m,/m/0838f",2,Toilet flush|Water
101,-DnZ_ZY3lgA,160.0,170.0,/m/011k_j,1,Timpani
102,-E35OMfL4A4,3.0,13.0,"/m/04rlf,/m/04rmv",2,Music|Mouse
103,-EJM0iKMFuI,10.0,20.0,"/m/02_nn,/m/04rlf",2,Fart|Music
104,-EVRXQpt1-8,50.0,60.0,"/m/01swy6,/m/04rlf,/t/dd00126",3,"Yodeling|Music|Inside, large room or hall"
105,-EdnWQqlerc,320.0,330.0,/m/096m7z,1,Noise
106,-EgyhJoKuRU,20.0,30.0,/m/07pws3f,1,Bang
107,-EpiyDLPHzo,30.0,40.0,"/m/04rlf,/m/07lnk,/m/07s72n,/m/08cyft,/m/0ggx5q",5,Music|Trance music|Dubstep|Electronic dance music|Dance music
108,-F7sBonFvVw,40.0,50.0,/m/0dv3j,1,Boiling
109,-FITRqeXl9Q,30.0,40.0,"/m/01d3sd,/m/02yds9",2,Snoring|Purr
110,-FKrYTj_eCU,0.0,10.0,/m/03qc9zr,1,Screaming
111,-FoTxwPOz3U,0.0,10.0,"/m/0939n_,/m/09x0r,/m/0ytgt",3,"Gargling|Speech|Child speech, kid speaking"
112,-Fy2i3zpYdY,20.0,30.0,/m/07n_g,1,Tuning fork
113,-G04QpzSpbU,20.0,30.0,"/m/02yds9,/m/0ytgt",2,"Purr|Child speech, kid speaking"
114,-G3tJhsHtKU,0.0,10.0,/m/07qfgpx,1,"Jingle, tinkle"
115,-GVRoRILVD4,70.0,80.0,"/m/015lz1,/m/05lls",2,Singing|Opera
116,-Gf4Ihv1zwc,50.0,60.0,"/m/04rlf,/t/dd00034",2,Music|Tender music
117,-Gr9P8Abnlk,110.0,120.0,"/m/01jt3m,/m/0838f",2,Toilet flush|Water
118,-HAoExLVs6Q,380.0,390.0,"/m/01g50p,/m/06d_3,/m/07jdr,/t/dd00048",4,"Railroad car, train wagon|Rail transport|Train|Train wheels squealing"
119,-HKAgW-vzSI,30.0,40.0,"/m/08j51y,/m/09x0r",2,"Dental drill, dentist's drill|Speech"
120,-HWygXWSNRA,30.0,40.0,"/m/0k4j,/t/dd00066",2,Car|Medium engine (mid frequency)
121,-IKnJa9U66I,150.0,160.0,"/m/04rlf,/m/09x0r,/m/0llzx,/t/dd00065",4,Music|Speech|Sewing machine|Light engine (high frequency)
122,-IVxwkTcpp4,0.0,10.0,"/m/01hnzm,/m/04rlf",2,Ringtone|Music
123,-IZbvEO9wzU,30.0,40.0,"/m/04rlf,/t/dd00004,/t/dd00005",3,Music|Female singing|Child singing
124,-IeSZuZNhPw,40.0,50.0,"/m/02mk9,/m/07qn4z3,/m/07yv9",3,Engine|Rattle|Vehicle
125,-Igq1W20Gi8,0.0,10.0,/m/01w250,1,Whistling
126,-Irh7_N5Kjs,2.0,12.0,"/m/07q4ntr,/m/09x0r",2,Bellow|Speech
127,-IvJaK7HLtQ,30.0,40.0,"/m/015vgc,/m/01c194,/m/04rlf,/m/0jtg0",4,Carnatic music|Mantra|Music|Sitar
128,-JBH9j7-h8U,30.0,40.0,"/m/07qdb04,/m/09ddx,/m/0jbk",3,Quack|Duck|Animal
129,-JJmkQYZA-4,20.0,30.0,"/m/025rv6n,/m/07qn5dc,/m/09b5t",3,"Fowl|Crowing, cock-a-doodle-doo|Chicken, rooster"
130,-JUBdOr8Hes,30.0,40.0,/m/0mkg,1,Accordion
131,-JeVsIKuMIM,30.0,40.0,/m/07rgkc5,1,Static
132,-JlIkV1f_g4,380.0,390.0,"/m/01sm1g,/m/0l14md",2,Wood block|Percussion
133,-JvB5AL59fM,30.0,40.0,"/m/04rlf,/m/06j6l,/t/dd00031,/t/dd00035",4,Music|Rhythm and blues|Happy music|Exciting music
134,-JzMCtGCh4o,0.0,5.0,"/m/07st88b,/m/09ld4",2,Croak|Frog
135,-K1BRF6qng8,30.0,40.0,/t/dd00004,1,Female singing
136,-KA76yUSK44,240.0,250.0,"/m/01xqw,/m/02qmj0d,/m/05pd6,/m/07y_7,/m/0l14_3",5,"Cello|String section|Orchestra|Violin, fiddle|Bowed string instrument"
137,-KTabIWnPSg,21.0,31.0,"/m/04rlf,/m/06bxc,/t/dd00003",3,Music|Rapping|Male singing
138,-LRl10YdS-U,30.0,40.0,/m/07plct2,1,Crushing
139,-LU2f6iVRVg,20.0,30.0,"/m/05rj2,/m/09x0r",2,Shuffling cards|Speech
140,-LgxtcD700E,30.0,40.0,"/m/06bz3,/m/09x0r",2,Radio|Speech
141,-M6K3QoHh40,30.0,40.0,"/m/04rlf,/m/07qv_x_",2,Music|Shuffle
142,-M7ZNV6gLo0,310.0,320.0,"/m/07sx8x_,/m/09x0r",2,Squawk|Speech
143,-M7sMIJRQgg,30.0,40.0,/m/07qfgpx,1,"Jingle, tinkle"
144,-MaA9JUGSBI,18.0,28.0,/m/01hnzm,1,Ringtone
145,-MwKGVrPrmA,70.0,80.0,/m/0c2wf,1,Typewriter
146,-NRx0SBMjo0,24.0,34.0,"/m/07ptzwd,/m/0838f",2,Pump (liquid)|Water
147,-Nc_T1FvPx0,70.0,80.0,"/m/01jwx6,/m/02mk9,/m/07yv9",3,Vibration|Engine|Vehicle
148,-NrseuJrJ6k,30.0,40.0,"/m/09x0r,/m/0dv3j",2,Speech|Boiling
149,-OAyRsvFGgc,30.0,40.0,"/m/01glhc,/m/02sgy,/m/0342h,/m/03lty,/m/04rlf,/m/0g12c5",6,Tapping (guitar technique)|Electric guitar|Guitar|Heavy metal|Music|Distortion
150,-OMB-w3LPNY,190.0,200.0,"/m/04rlf,/m/07sr1lc,/t/dd00129",3,"Music|Yell|Outside, rural or natural"
151,-OUIEnuNd1I,30.0,40.0,"/m/04rlf,/m/04wptg",2,Music|Wedding music
152,-OVb-UG8yJw,30.0,40.0,"/m/02l6bg,/m/02mk9,/m/07pb8fc,/m/07q2z82,/m/07yv9,/m/0k5j,/t/dd00067",7,"Propeller, airscrew|Engine|Idling|Accelerating, revving, vroom|Vehicle|Aircraft|Heavy engine (low frequency)"
153,-OeV4dPAQiw,30.0,40.0,"/m/04rlf,/m/068hy,/m/09x0r,/m/0jbk,/t/dd00136",5,"Music|Domestic animals, pets|Speech|Animal|Whimper (dog)"
154,-Opbeu2Y2yg,10.0,20.0,/m/07ppn3j,1,Sniff
155,-OytVyTEboM,25.0,35.0,"/m/0790c,/m/0c1dj",2,Sonar|Sound effect
156,-PVEno65928,30.0,40.0,"/m/03v3yw,/m/0btp2,/m/0k4j",3,"Keys jangling|Traffic noise, roadway noise|Car"
157,-PhYF7PbFew,150.0,160.0,/m/07pqc89,1,"Trickle, dribble"
158,-PyXfNxnHKs,110.0,120.0,"/m/023pjk,/m/04brg2",2,"Cutlery, silverware|Dishes, pots, and pans"
159,-Q9MTRXS4bE,30.0,40.0,"/m/024dl,/m/04rlf",2,Cash register|Music
160,-QX2Gv7J5gY,500.0,510.0,"/m/0642b4,/m/09x0r",2,Cupboard open or close|Speech
161,-Q_UXiwWR_c,30.0,40.0,/t/dd00134,1,Car passing by
162,-QsPqh8Kyrc,170.0,180.0,"/m/06h7j,/m/09x0r",2,Run|Speech
163,-QuWdnmn-kM,30.0,40.0,"/m/04rlf,/m/0fd3y",2,Music|Ambient music
164,-R4Vw5lNMPM,10.0,20.0,"/m/01kcd,/m/07c6l",2,Brass instrument|Trombone
165,-R8MAtu1vWY,20.0,30.0,/m/07ppn3j,1,Sniff
166,-RBs9pPhHY8,30.0,40.0,"/m/012ndj,/m/03j1ly,/m/03kmc9",3,"Fire engine, fire truck (siren)|Emergency vehicle|Siren"
167,-RKQEJbjXx0,30.0,40.0,/m/07pbtc8,1,"Walk, footsteps"
168,-RLILmQmubM,30.0,40.0,"/m/07s2xch,/m/09x0r",2,Groan|Speech
169,-RYtUAsNhF0,30.0,40.0,"/m/01jnbd,/m/02v2lh,/m/04rlf",3,Echo|New-age music|Music
170,-S-TDT5oq0Q,290.0,300.0,"/m/01xq0k1,/m/07rpkh9,/m/0ch8v",3,"Cattle, bovinae|Moo|Livestock, farm animals, working animals"
171,-S1mCXpSsvc,30.0,40.0,"/m/025wky1,/m/02mk9",2,Air conditioning|Engine
172,-SD43H5B5hE,520.0,530.0,"/m/01jg02,/m/01jg1z,/m/04rlf",3,"Heart sounds, heartbeat|Heart murmur|Music"
173,-SWaCArvQug,21.0,31.0,"/m/04rlf,/m/0fqfqc",2,Music|Drawer open or close
174,-Sd-j0rKeKw,30.0,40.0,"/m/07qz6j3,/m/09x0r",2,Whimper|Speech
175,-SmkiYKIhfs,180.0,190.0,"/m/01b82r,/m/083vt",2,Sawing|Wood
176,-StCvzCSVdA,570.0,580.0,/m/02_41,1,Fire
177,-T2MO0xBNwM,26.0,36.0,"/m/019jd,/m/02rlv9",2,"Boat, Water vehicle|Motorboat, speedboat"
178,-T3Td30k7hA,35.0,45.0,/m/07q0yl5,1,Snort
179,-TN-8OnbpPQ,170.0,180.0,"/m/08j51y,/m/09x0r",2,"Dental drill, dentist's drill|Speech"
180,-TxhuS0jsI4,70.0,80.0,"/m/07r4k75,/m/09x0r,/t/dd00129",3,"Grunt|Speech|Outside, rural or natural"
181,-U16iKiXGuY,30.0,40.0,"/m/03_d0,/m/04rlf",2,Jazz|Music
182,-U7agd00tIg,130.0,140.0,/m/04fgwm,1,Electric toothbrush
183,-U9jfwt03Gg,180.0,190.0,/m/07qc9xj,1,Clicking
184,-UFvq4-iS-Y,580.0,590.0,"/m/04rlf,/m/09x0r,/t/dd00013",3,Music|Speech|Children playing
185,-UKH_6moRZc,180.0,190.0,"/m/09x0r,/m/0fqfqc",2,Speech|Drawer open or close
186,-USpijVx_aI,200.0,210.0,"/m/0jb2l,/m/0ngt1",2,Thunderstorm|Thunder
187,-UTdhK0lwuw,30.0,40.0,"/m/0130jx,/m/02jz0l,/m/0838f",3,"Sink (filling or washing)|Water tap, faucet|Water"
188,-Umconw-CRE,30.0,40.0,"/m/0155w,/m/0342h,/m/04rlf",3,Blues|Guitar|Music
189,-UoPcgmbIkk,30.0,40.0,"/m/09x0r,/t/dd00088",2,Speech|Gush
190,-V9U5F14AVY,40.0,50.0,"/m/07ptzwd,/m/0838f",2,Pump (liquid)|Water
191,-VLOm8cJZRI,70.0,80.0,"/m/023pjk,/m/04brg2",2,"Cutlery, silverware|Dishes, pots, and pans"
192,-VasGrFLqW8,110.0,120.0,"/m/07r5v4s,/t/dd00125",2,"Drip|Inside, small room"
193,-Vo4CAMX26U,30.0,40.0,"/m/02bxd,/m/04rlf",2,Didgeridoo|Music
194,-Vt__PL1bgk,240.0,250.0,/m/02p01q,1,Filing (rasp)
195,-W4WT0zFV2Q,10.0,20.0,"/m/032s66,/m/04zjc",2,"Gunshot, gunfire|Machine gun"
196,-WDOQunQq5Q,90.0,100.0,/m/012xff,1,Toothbrush
197,-WGiNsWOczo,470.0,480.0,"/m/07rkbfh,/m/09x0r",2,Chatter|Speech
198,-WIDMrHskbI,350.0,360.0,"/m/0dwsp,/m/0dwtp,/m/0j45pbj",3,"Marimba, xylophone|Glockenspiel|Mallet percussion"
199,-WKYdeVL3_k,30.0,40.0,"/m/04rlf,/m/08j51y,/m/09x0r",3,"Music|Dental drill, dentist's drill|Speech"
200,-WXIhTodJ6M,30.0,40.0,"/m/04rlf,/m/0ggq0m",2,Music|Classical music
201,-Wd5YV97ftU,320.0,330.0,"/m/04rlf,/m/07rknqz,/m/07yv9,/m/09x0r,/m/0k4j,/m/0ltv",6,"Music|Skidding|Vehicle|Speech|Car|Race car, auto racing"
202,-WoudI3gGvk,30.0,40.0,/m/05x_td,1,"Air horn, truck horn"
203,-WvVG0wHcTc,310.0,320.0,"/m/015lz1,/m/01lyv,/m/0342h,/m/04rlf,/m/04wptg",5,Singing|Country|Guitar|Music|Wedding music
204,-X8J0l_ISNI,30.0,40.0,"/m/07pyf11,/m/0k5j",2,Flap|Aircraft
205,-XZBpMKRhok,10.0,20.0,"/m/02g901,/m/09x0r",2,"Electric shaver, electric razor|Speech"
206,-XilaFMUwng,50.0,60.0,"/m/015p6,/m/04s8yn",2,Bird|Crow
207,-XnPjiPiRAM,10.0,20.0,"/m/01p970,/m/026t6,/m/0l14md",3,Tabla|Drum|Percussion
208,-XwtCzUaN1I,160.0,170.0,"/m/01qbl,/m/03qtq",2,Cymbal|Hi-hat
209,-XxUW9gW6mc,60.0,70.0,"/m/03fwl,/m/09t49,/m/0ch8v,/m/0jbk",4,"Goat|Rustling leaves|Livestock, farm animals, working animals|Animal"
210,-Y-J_aNii3c,21.0,31.0,"/m/04rlf,/m/06h7j",2,Music|Run
211,-Y8sJDoL1YA,15.0,25.0,/m/0mbct,1,Gong
212,-YAyjUL7_xo,200.0,210.0,"/m/07p9k1k,/m/07ptfmf,/m/0dxrf",3,Sizzle|Stir|Frying (food)
213,-YIT4HBM__g,30.0,40.0,"/m/04rlf,/m/0y4f8,/m/0z9c",3,Music|Vocal music|A capella
214,-YRJHtktT1g,170.0,180.0,"/m/07qv_d5,/m/07yv9,/m/09x0r,/m/0k4j,/t/dd00128",5,"Toot|Vehicle|Speech|Car|Outside, urban or manmade"
215,-YfaQljuwwA,30.0,40.0,/m/07rv9rh,1,Clip-clop
216,-Yk2eyBxCdQ,20.0,30.0,"/m/05zc1,/m/0l7xg,/t/dd00077",3,Pulleys|Gears|Mechanisms
217,-YwPSwhe2jo,30.0,40.0,"/m/04rlf,/m/07qv_x_,/m/09x0r",3,Music|Shuffle|Speech
218,-Z1ZSWDouUU,30.0,40.0,"/m/019jd,/m/02rlv9,/m/03m9d0z,/t/dd00092",4,"Boat, Water vehicle|Motorboat, speedboat|Wind|Wind noise (microphone)"
219,-Z8bjo6q6jc,70.0,80.0,"/m/032n05,/m/09x0r",2,Whale vocalization|Speech
220,-ZFQfWBmfdE,30.0,40.0,/m/07plct2,1,Crushing
221,-ZJqu_4zLMc,30.0,40.0,"/m/01yrx,/m/068hy,/m/07qrkrw,/m/07r81j2,/m/09x0r,/m/0jbk",6,"Cat|Domestic animals, pets|Meow|Caterwaul|Speech|Animal"
222,-ZlExzZRlF4,30.0,40.0,/m/02x984l,1,Mechanical fan
223,-ZsrCgzYPpQ,30.0,40.0,"/m/07rknqz,/m/07yv9,/m/0k4j",3,Skidding|Vehicle|Car
224,-_9xozPeXzk,30.0,40.0,"/m/02bm9n,/m/0l7xg,/t/dd00077",3,"Ratchet, pawl|Gears|Mechanisms"
225,-_HXiz8XnV0,580.0,590.0,"/m/04rlf,/m/07pc8lb,/m/09x0r,/t/dd00125",4,"Music|Breaking|Speech|Inside, small room"
226,-_QPd-VskKY,30.0,40.0,/m/04rmv,1,Mouse
227,-_UCboMO_xE,0.0,7.0,/m/07ryjzk,1,"Slap, smack"
228,-_f_ClsDxyc,80.0,90.0,"/m/01kcd,/m/01wy6,/m/07gql",3,Brass instrument|Clarinet|Trumpet
229,-a0drwQsrso,310.0,320.0,/m/02pjr4,1,Blender
230,-a8dC-A_xQE,120.0,130.0,"/m/04rlf,/m/07rkbfh,/m/09x0r",3,Music|Chatter|Speech
231,-aJYgmhyrvQ,190.0,200.0,"/m/07qlwh6,/m/09x0r",2,Squish|Speech
